 tenderness, calmness, power, joyful_activation, tension, sadness,classical,electronic,pop,rock, gender, mood, age_adult, age_child, age_senior, age_young, age_young_adult,ratings,MEAN_RR,SDRR,HR,RMSSD,pNN50,VLF,LF,HF
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,955.39359695,145.51340711943482,64.66141017976425,22.83329338851313,1.25,2727.188512426151,2100.772583500223,6.942776276938273
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,495.137333275,20.541447649563146,121.38012937066799,4.649531194959391,0.0,122.9924043923909,172.81234711133118,9.815828395852877
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1053.41259835,89.1299136374029,57.36445696324537,26.63100733782112,4.75,2025.3974167914719,2910.018051880938,2.651670004981785
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,684.916596525,55.14849289826017,88.14633526760643,5.229125129753476,0.0,729.4056849190938,121.1570883486237,4.408449088561788
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,861.173850025,75.94998633336277,70.21789633491386,15.02638896367995,0.0,1795.6272845764718,702.7621180853308,32.33559489634297
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,965.55519375,78.66397886461877,62.58092183389525,21.13762784420188,1.0,1478.658066799767,1800.952170473639,14.379152763850653
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,948.352965,65.727501459902,63.57686264691538,16.73273907569326,0.0,1114.462208137058,1132.0208247857358,11.441218626136779
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,928.636336975,59.45938294262678,64.88749040163593,7.6310686712848375,0.0,1348.650154690641,173.9274798276899,5.192644546439377
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,895.369120275,76.67951473500663,67.52570792788848,13.612564195152359,0.75,2933.5548597079887,590.25928925102,21.12521971172928
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,865.969417875,122.7166960625147,70.8345639455183,14.63357593056985,0.0,3330.4279062846067,874.4298521809828,15.68620664127072
