track id,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20, genre, amazement, solemnity, tenderness, nostalgia, calmness, power, joyful_activation, tension, sadness, mood, liked, disliked, age, gender, mother tongue
1,0.168761123,0.084875427,1250.061078,1383.643005,1891.738561,0.074272416,-320.7868578,109.8524143,-13.96551395,-2.775936003,-18.24481082,-3.779133593,0.438928055,4.925537277,-2.122253766,-7.095554635,-8.857215859,-3.920455317,1.439763674,4.458435783,-4.053568404,-9.239814874,-10.01851501,-12.22091857,-13.59661699,-10.99571852,classical,0,0,0,0,0,0,0,0,1,3,0,0,30,0,English
1,0.168761123,0.084875427,1250.061078,1383.643005,1891.738561,0.074272416,-320.7868578,109.8524143,-13.96551395,-2.775936003,-18.24481082,-3.779133593,0.438928055,4.925537277,-2.122253766,-7.095554635,-8.857215859,-3.920455317,1.439763674,4.458435783,-4.053568404,-9.239814874,-10.01851501,-12.22091857,-13.59661699,-10.99571852,classical,0,0,1,1,0,0,0,0,1,1,1,0,33,0,Russian
1,0.168761123,0.084875427,1250.061078,1383.643005,1891.738561,0.074272416,-320.7868578,109.8524143,-13.96551395,-2.775936003,-18.24481082,-3.779133593,0.438928055,4.925537277,-2.122253766,-7.095554635,-8.857215859,-3.920455317,1.439763674,4.458435783,-4.053568404,-9.239814874,-10.01851501,-12.22091857,-13.59661699,-10.99571852,classical,0,1,0,0,1,0,0,0,1,4,0,1,51,0,English
1,0.168761123,0.084875427,1250.061078,1383.643005,1891.738561,0.074272416,-320.7868578,109.8524143,-13.96551395,-2.775936003,-18.24481082,-3.779133593,0.438928055,4.925537277,-2.122253766,-7.095554635,-8.857215859,-3.920455317,1.439763674,4.458435783,-4.053568404,-9.239814874,-10.01851501,-12.22091857,-13.59661699,-10.99571852,classical,1,1,0,0,1,0,0,0,0,3,0,0,21,1,English
1,0.168761123,0.084875427,1250.061078,1383.643005,1891.738561,0.074272416,-320.7868578,109.8524143,-13.96551395,-2.775936003,-18.24481082,-3.779133593,0.438928055,4.925537277,-2.122253766,-7.095554635,-8.857215859,-3.920455317,1.439763674,4.458435783,-4.053568404,-9.239814874,-10.01851501,-12.22091857,-13.59661699,-10.99571852,classical,0,1,0,1,0,0,0,0,1,3,0,0,60,1,English
1,0.168761123,0.084875427,1250.061078,1383.643005,1891.738561,0.074272416,-320.7868578,109.8524143,-13.96551395,-2.775936003,-18.24481082,-3.779133593,0.438928055,4.925537277,-2.122253766,-7.095554635,-8.857215859,-3.920455317,1.439763674,4.458435783,-4.053568404,-9.239814874,-10.01851501,-12.22091857,-13.59661699,-10.99571852,classical,1,0,1,0,1,0,0,0,0,4,1,0,21,0,English
1,0.168761123,0.084875427,1250.061078,1383.643005,1891.738561,0.074272416,-320.7868578,109.8524143,-13.96551395,-2.775936003,-18.24481082,-3.779133593,0.438928055,4.925537277,-2.122253766,-7.095554635,-8.857215859,-3.920455317,1.439763674,4.458435783,-4.053568404,-9.239814874,-10.01851501,-12.22091857,-13.59661699,-10.99571852,classical,0,0,0,0,1,0,0,0,0,4,0,0,46,1,French
1,0.168761123,0.084875427,1250.061078,1383.643005,1891.738561,0.074272416,-320.7868578,109.8524143,-13.96551395,-2.775936003,-18.24481082,-3.779133593,0.438928055,4.925537277,-2.122253766,-7.095554635,-8.857215859,-3.920455317,1.439763674,4.458435783,-4.053568404,-9.239814874,-10.01851501,-12.22091857,-13.59661699,-10.99571852,classical,0,0,0,0,0,0,0,0,1,4,0,1,25,1,English
1,0.168761123,0.084875427,1250.061078,1383.643005,1891.738561,0.074272416,-320.7868578,109.8524143,-13.96551395,-2.775936003,-18.24481082,-3.779133593,0.438928055,4.925537277,-2.122253766,-7.095554635,-8.857215859,-3.920455317,1.439763674,4.458435783,-4.053568404,-9.239814874,-10.01851501,-12.22091857,-13.59661699,-10.99571852,classical,0,0,0,0,1,0,0,0,0,3,0,0,42,1,Tamil
1,0.168761123,0.084875427,1250.061078,1383.643005,1891.738561,0.074272416,-320.7868578,109.8524143,-13.96551395,-2.775936003,-18.24481082,-3.779133593,0.438928055,4.925537277,-2.122253766,-7.095554635,-8.857215859,-3.920455317,1.439763674,4.458435783,-4.053568404,-9.239814874,-10.01851501,-12.22091857,-13.59661699,-10.99571852,classical,0,1,0,0,1,0,0,0,1,4,1,0,28,0,English
